"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\App.css", "CSS", 0, 33, 0, 6, 39
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\App.js", "JavaScript", 16, 0, 0, 5, 21
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\AuthReq.js", "JavaScript", 15, 0, 0, 11, 26
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Home\Header.css", "CSS", 0, 43, 0, 8, 51
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Home\Header.js", "JavaScript", 96, 0, 2, 8, 106
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Home\Sectoin\LeftSide.js", "JavaScript", 62, 0, 0, 10, 72
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Home\Sectoin\Main.js", "JavaScript", 53, 0, 0, 4, 57
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Home\Sectoin\Modal.js", "JavaScript", 170, 0, 1, 10, 181
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Home\Sectoin\RightSide.js", "JavaScript", 4, 0, 0, 1, 5
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Home\Sectoin\mainarticles.js", "JavaScript", 9, 0, 2, 2, 13
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Home\home.js", "JavaScript", 28, 0, 0, 6, 34
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Login\Login.js", "JavaScript", 40, 0, 0, 6, 46
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Component\Login\Navbar.js", "JavaScript", 16, 0, 0, 2, 18
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Feature\UserSlice.js", "JavaScript", 171, 0, 10, 13, 194
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\Store\store.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\firebaseConfg.js", "JavaScript", 17, 0, 6, 4, 27
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\index.css", "CSS", 0, 11, 0, 2, 13
"c:\Users\isc\Desktop\New folder\Linkdin-clone\src\index.js", "JavaScript", 20, 0, 3, 5, 28
"Total", "-", 724, 87, 24, 105, 940
